border,,
,b=t,
,b=r,
,b=b,
,b=l,
,b=a,
,,
borderstyle,,
,b=all/bs=dashed,
,b=all/bs=solid,
,,
color,,
,c=FF0000,
,c=ABC,
,,
fill,,
,f=3,
,f=3,
,f=3,
,,
fontcolor,,
,fc=FF0000,
,fc=ABC,
,,
fontfamily,,
,ff='Comic Sans MS',
,ff='Helvetica',
,,
fontsize,,
,fs=20,
,fs=4,
,,
halign,,
,ha=l,
,ha=c,
,ha=r,
,,
note,,
,n='this is a note',
,,
numberformat,,
,nf=currency,123456
,nf=date,123456
,nf=datetime,123456
,nf=number,123456
,nf=percent,123456
,nf=text,123456
,nf=time,123456
,nf=scientific,123456
,,
text,,
,t=b,
,t=i,
,t=u,
,t=s,
,,
validate,,
validate=c(TRUE),TRUE,
validate=date_gt(2025-09-08),2026-09-07,
validate=date_gte(1/2/23),1/2/2023,
validate=date_lt(2024-10-10),2021-01-01,
validate=date_lte(11/2/24),11/2/2022,
validate=date_btwn(2/4/2025  10/20/2026),=(1 / (1 / 26)),
validate=date_eq(1/2/23),=(1 / (2 / 23)),
validate=in_list(1 2 3 foo),=1,
validate=in_range(A1),border,
validate=date_is_valid,2026-01-01,
validate=is_email,test@test.com,
validate=is_url,http://test.com,
validate=date_nbtwn(4/5/2022 2022-05-04),04/25/2022,
validate=num_btwn(5 10),=8,
validate=num_eq(5),=5,
validate=num_gt(21),=22,
validate=num_gte(23),=24,
validate=num_lt(23),=21,
validate=num_lte(42),=23,
validate=num_nbtwn(1 20),=12,
validate=num_neq(42),=123,
validate=text_contains('foo'),foo bar baz,
validate=text_does_not_contain('foo'),bar,
validate=text_equal_to('foo'),foo,
,,
valign,,
,va=top,
,va=center,
,va=bottom,
